"Candidate_Entity.id","Candidate","Num_of_Records","Total_dollar"
39827485,"FLORES, LUCY",1780,1100133.85
39827506,"GUMINA, TONY",47,29907
39827512,"HAMILTON, EDDIE",0,0
39827519,"HECK, THOMAS (SAD TOM)",0,0
39827524,"HORNE, FREDDY A (FRED)",39,73862.55
39827533,"JOHNSTON, GARY (COACH)",0,0
39827538,"JONES, TOM",2,2215
39827540,"KHAL, SAMI",0,0
39827543,"KNIGHT, DREW",0,0
39827553,"LEEDS, ROBERT X",0,0
39827556,"LITTLE, MIKE",0,0
39827562,"MAHENDRA, BOBBY",2,25006
39827565,"MARKOWITZ, WARREN",0,0
39827568,"MATTHEWS, ANDY",332,233151.62
39827575,"MILLER, JEFF",0,0
39827590,"OBRIANT, LIDDO SUSAN",0,0
39827605,"PREBLE, JUSTON J",0,0
39827611,"RHEINHART, ALLEN",0,0
39827615,"ROLLE, DAN",328,16220.85
39827617,"ROSEN, JACKY",2014,1692551.44
39827622,"SAWYER, THOMAS (TOM)",0,0
39827624,"SCHAEFER, MIKE",0,0
39827626,"SCHIFFMAN, STEVEN M",0,0
39827633,"SHEPHERD, RICK",28,8751.29
39827636,"SINGER, ALEX CHANNING",5,4864.97
39827639,"SMITH, RODNEY",0,0
39827640,"SOLORIO, JOSE A",0,0
39827647,"TARBELL, BILL",2,1513.75
39827664,"VILLINES, WAYNE J",0,0
39827666,"WAITE, NEIL M",0,0
39827673,"WILLIAMS, JARROD M",9,901.75
39828171,"HULLUM, DAVID MATTHEW",1,4500
39828173,"ROGERS, EVELYN L",0,0
39828177,"SCHIEFELBEIN, PAUL E",0,0
39828179,"BROWN, DESIREE",10,4631.71
39828181,"OWEN, CHRISTINA",0,0
39828182,"TAYLOR, JAMES",21,18041
39828183,"ROBERTS, SHAWN M",0,0
39828184,"WHITE, SEVIER",0,0
39828187,"KNIGHT, ZACHARY",0,0
39828188,"VOLPE, FRANK",27,15191.67
39828190,"BRADDY, SEAN",7,8269.32
39833727,"SULLIVAN, DANIEL SCOTT",5011,6822835.41
39849758,"BERGMAN, JOHN W (JACK)",610,1178147.9
39849761,"MURPHY, DENNIS B",59,15639.94
39849762,"SMITH, DOUGLAS",19,30184.5
39849763,"HARDWICK, AL",0,0
39849764,"NORTH, DOUG",0,0
39849765,"GILBERT, MELISSA",1357,714435.65
39849766,"MORSE, CHRISTOPHER R",16,17225.36
39849768,"MITCHELL, PAUL",1,16000
39849771,"VANASSCHE, DAVID J",34,169742.74
39849772,"ACCAVITTI JR, FRANK",40,48425.82
39849775,"JONES, JEFF",14,17854.84
39849778,"WINFREY, JANICE",76,78488.64
39849779,"KLAUSNER, HOWARD",0,0
39849781,"MORRISON, TERRANCE",3,10200
39849782,"MOSS, VANESSA",0,0
40218881,"THRONE-HOLST, ANNA E",10029,3873333.99
40218884,"GREGORY, DU WAYNE",770,376405.47
40219495,"WADE, MICHAEL L (MIKE)",141,146692.7
40219496,"GONZALEZ, JACKEE K",34,21813
40219507,"CARDWELL IV, CHARLES PAT (PAT)",33,87344
40219509,"GRIEGO, HARRY",5,10930.26
40245857,"REMAKLUS, KINSEY",0,0
40375458,"WELLS, STEVEN M",451,769391.4
40375459,"ELLISON, GREG",562,510038.87
40377359,"GREENE, RYAN BRADY",193,185654
40426388,"HINSON, AMANDA LYNN",40,25489.7
40426555,"SMITH, DARIN D",76,94766
40426672,"MORSE, NICHOLAS GRANT",104,167133.24
40433864,"BEINSTEIN, ALEXANDER",15,14210
40433894,"JOHN, RICK",196,178670.08
40433968,"COKER, ADAM WARD",5,16280
40433972,"SUKHIA, KEN",109,206903.3
40459975,"FEDALEI, CHRISTOPHER A",133,100247.12
40460821,"STERN, STEVE",521,525596.99
40461390,"ATHANASOPOULOS, GEORGE",60,52978.6
40461436,"ELLER, JERRY",0,0
40461456,"GLENN, DARRYL",11327,3006369.26
40461510,"MARTINEZ, DONALD E",0,0
40461527,"NORRIS, CHARLES H (CHUCK)",22,14244.36
