request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
s=WA&y=2016&c-t-id=209264,c-t-id,209264,"KING, CURTIS P",c-t-eid,2675390,"KING, CURTIS P",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8571,"SENATE DISTRICT 014",c-t-ico,I,Incumbent,739,308938.92
s=WA&y=2016&c-t-id=209313,c-t-id,209313,"YU, MARY I",c-t-eid,2621038,"YU, MARY I",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,101,NONPARTISAN,c-t-p,4,Nonpartisan,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,9730,"SUPREME COURT",c-t-ico,I,Incumbent,1432,307962.41
s=WA&y=2016&c-t-id=208830,c-t-id,208830,"KOCHMAR, LINDA L",c-t-eid,2790634,"KOCHMAR, LINDA L",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8308,"HOUSE DISTRICT 030-POSITION 1",c-t-ico,I,Incumbent,589,304343.29
s=WA&y=2016&c-t-id=208806,c-t-id,208806,"HICKEL, TERI H",c-t-eid,3965598,"HICKEL, TERI H",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8309,"HOUSE DISTRICT 030-POSITION 2",c-t-ico,I,Incumbent,408,299276.97
s=WA&y=2016&c-t-id=208960,c-t-id,208960,"YOUNG, JESSE L",c-t-eid,2831247,"YOUNG, JESSE L",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8296,"HOUSE DISTRICT 026-POSITION 1",c-t-ico,I,Incumbent,468,294931.16
s=WA&y=2016&c-t-id=209208,c-t-id,209208,"SPRUNG, JEFFREY T (JEFF)",c-t-eid,2802985,"SPRUNG, JEFFREY T (JEFF)",c-t-ftsts,"Lost-Top Two Primary","Lost-Top Two Primary",c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,9399,AUDITOR,c-t-ico,O,Open,727,289536.16
s=WA&y=2016&c-t-id=209298,c-t-id,209298,"ZEIGER, HANS A",c-t-eid,3150952,"ZEIGER, HANS A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8582,"SENATE DISTRICT 025",c-t-ico,O,Open,867,279999.88
s=WA&y=2016&c-t-id=208833,c-t-id,208833,"KRAFT, VICKI CALDWELL",c-t-eid,17693297,"KRAFT, VICKI CALDWELL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8271,"HOUSE DISTRICT 017-POSITION 1",c-t-ico,O,Open,286,277321.93
s=WA&y=2016&c-t-id=209312,c-t-id,209312,"WIGGINS, CHARLES (CHARLIE)",c-t-eid,13009769,"WIGGINS, CHARLES (CHARLIE)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,101,NONPARTISAN,c-t-p,4,Nonpartisan,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,9727,"SUPREME COURT-006",c-t-ico,I,Incumbent,1237,277050.38
s=WA&y=2016&c-t-id=208932,c-t-id,208932,"SULLIVAN, PATRICK J (PAT)",c-t-eid,3025310,"SULLIVAN, PATRICK J (PAT)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,8348,"HOUSE DISTRICT 047-POSITION 2",c-t-ico,I,Incumbent,565,271013.95
