request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143175,c-t-id,143175,"HUFFMAN, WAYNE",c-t-eid,17660955,"HUFFMAN, WAYNE",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,73,LIBERTARIAN,c-t-p,3,Third-Party,s,TX,TX,y,2012,2012,c-r-t,1,Standard,c-r-osid,14967,"US SENATE DISTRICT TX SW-CLASS I",c-t-ico,O,Open,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143176,c-t-id,143176,"RAJU, S GOPAL",c-t-eid,17660957,"RAJU, S GOPAL",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,73,LIBERTARIAN,c-t-p,3,Third-Party,s,TX,TX,y,2012,2012,c-r-t,1,Standard,c-r-osid,14967,"US SENATE DISTRICT TX SW-CLASS I",c-t-ico,O,Open,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143177,c-t-id,143177,"PETERSON II, WILLIAM (DONALD)",c-t-eid,17660958,"PETERSON II, WILLIAM (DONALD)",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,UT,UT,y,2012,2012,c-r-t,1,Standard,c-r-osid,15453,"US SENATE DISTRICT UT SW-CLASS I",c-t-ico,O,Open,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143178,c-t-id,143178,"MCCAUSLAND, SHAUN LYNN",c-t-eid,17660959,"MCCAUSLAND, SHAUN LYNN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,29,CONSTITUTION,c-t-p,3,Third-Party,s,UT,UT,y,2012,2012,c-r-t,1,Standard,c-r-osid,15453,"US SENATE DISTRICT UT SW-CLASS I",c-t-ico,C,Challenger,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143179,c-t-id,143179,"LAWRENCE, WILLIAM J (DUB)",c-t-eid,17660960,"LAWRENCE, WILLIAM J (DUB)",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,UT,UT,y,2012,2012,c-r-t,1,Standard,c-r-osid,15453,"US SENATE DISTRICT UT SW-CLASS I",c-t-ico,C,Challenger,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143180,c-t-id,143180,"GEERY, DANIEL",c-t-eid,17660961,"GEERY, DANIEL",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,227,"UTAH JUSTICE",c-t-p,3,Third-Party,s,UT,UT,y,2012,2012,c-r-t,1,Standard,c-r-osid,15453,"US SENATE DISTRICT UT SW-CLASS I",c-t-ico,C,Challenger,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143181,c-t-id,143181,"SECRIST, JOANN S",c-t-eid,17660962,"SECRIST, JOANN S",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,177,WRITEIN,c-t-p,3,Third-Party,s,UT,UT,y,2012,2012,c-r-t,1,Standard,c-r-osid,15453,"US SENATE DISTRICT UT SW-CLASS I",c-t-ico,C,Challenger,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143182,c-t-id,143182,"LAFRAMBOISE, LAUREL",c-t-eid,17660963,"LAFRAMBOISE, LAUREL",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,277,"VOTE KISS",c-t-p,3,Third-Party,s,VT,VT,y,2012,2012,c-r-t,1,Standard,c-r-osid,15455,"US SENATE DISTRICT VT SW-CLASS I",c-t-ico,C,Challenger,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143183,c-t-id,143183,"WILSON, (DOC) TIMMY",c-t-eid,17660965,"WILSON, (DOC) TIMMY",c-t-ftsts,"Lost-Top Two Primary","Lost-Top Two Primary",c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2012,2012,c-r-t,1,Standard,c-r-osid,15456,"US SENATE DISTRICT WA SW-CLASS I",c-t-ico,C,Challenger,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143184,c-t-id,143184,"STOCKWELL, GLEN R (STOCKY)",c-t-eid,17660966,"STOCKWELL, GLEN R (STOCKY)",c-t-ftsts,"Lost-Top Two Primary","Lost-Top Two Primary",c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2012,2012,c-r-t,1,Standard,c-r-osid,15456,"US SENATE DISTRICT WA SW-CLASS I",c-t-ico,C,Challenger,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143185,c-t-id,143185,"KEXEL, JOSEPH",c-t-eid,17660967,"KEXEL, JOSEPH",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,73,LIBERTARIAN,c-t-p,3,Third-Party,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,15457,"US SENATE DISTRICT WI SW-CLASS I",c-t-ico,O,Open,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143186,c-t-id,143186,"YU III, NIMROD ALLEN",c-t-eid,17660968,"YU III, NIMROD ALLEN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,254,IDEA,c-t-p,3,Third-Party,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,15457,"US SENATE DISTRICT WI SW-CLASS I",c-t-ico,O,Open,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143187,c-t-id,143187,"BABER, ROBERT (BOB) HENRY",c-t-eid,6470410,"BABER, ROBERT (BOB) HENRY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,91,MOUNTAIN,c-t-p,3,Third-Party,s,WV,WV,y,2012,2012,c-r-t,1,Standard,c-r-osid,14973,"US SENATE DISTRICT WV SW-CLASS I",c-t-ico,C,Challenger,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143188,c-t-id,143188,"BRYK, WILLIAM",c-t-eid,17407885,"BRYK, WILLIAM",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WY,WY,y,2012,2012,c-r-t,1,Standard,c-r-osid,14974,"US SENATE DISTRICT WY SW-CLASS I",c-t-ico,O,Open,0,0.00
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=143189,c-t-id,143189,"CHESNUT, TIM",c-t-eid,17660971,"CHESNUT, TIM",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WY,WY,y,2012,2012,c-r-t,1,Standard,c-r-osid,14974,"US SENATE DISTRICT WY SW-CLASS I",c-t-ico,C,Challenger,0,0.00
