"","Zip_Code","Latitude","Longitude"
"199",1004,42.384494,-72.513183
"200",1005,42.32916,-72.139465
"201",1007,42.280267,-72.402056
"202",1008,42.177833,-72.958359
"203",1009,42.206092,-72.340486
"204",1010,42.108585,-72.20448
"205",1011,42.294259,-72.952776
"206",1012,42.392274,-72.825607
"207",1013,42.161492,-72.667341
"208",1014,42.170731,-72.604842
"209",1020,42.177492,-72.562563
"210",1021,42.170731,-72.604842
"211",1022,42.193392,-72.55436
"212",1026,42.428617,-72.909841
"213",1027,42.368303,-72.768839
"214",1028,42.062009,-72.49874
"215",1029,42.190904,-73.051661
"216",1030,42.189335,-72.79774
"217",1031,42.352554,-72.205724
"218",1032,42.443837,-72.819446
"219",1033,42.262285,-72.504086
"220",1034,42.112748,-72.952003
"221",1035,42.356804,-72.576613
"222",1036,42.067614,-72.417507
"223",1037,42.347856,-72.225251
"224",1038,42.387269,-72.643081
"225",1039,42.35641,-72.682127
"226",1040,42.198291,-72.64207
"227",1041,42.170731,-72.604842
"228",1050,42.313427,-72.903677
"229",1053,42.353838,-72.704385
"230",1054,42.474681,-72.467543
"231",1056,42.173276,-72.627038
"232",1057,42.095323,-72.282063
"233",1059,42.369562,-72.63599
"234",1060,42.415154,-72.76927
"235",1061,42.369562,-72.63599
"236",1062,42.328838,-72.845227
"237",1063,42.317939,-72.640234
"238",1066,42.406697,-72.633901
"239",1068,42.346144,-72.058847
"240",1069,42.176131,-72.31457
"241",1070,42.448984,-72.958397
"242",1071,42.177432,-72.864558
"243",1072,42.471562,-72.44017
"244",1073,42.230008,-72.728463
"245",1074,42.375998,-72.149388
"246",1075,42.24984,-72.58152
"247",1077,42.066644,-72.541205
"248",1079,42.192892,-72.329574
"249",1080,42.179805,-72.517813
"250",1081,42.061948,-72.213598
"251",1082,42.377471,-72.548549
"252",1083,42.204027,-72.199439
"253",1084,42.390303,-72.870857
"254",1085,42.14869,-72.501887
"255",1086,42.173428,-72.847964
"256",1088,42.390583,-72.646894
"257",1089,42.125793,-72.645334
"258",1090,42.170731,-72.604842
"259",1092,42.202887,-72.229025
"260",1093,42.442673,-72.652511
"261",1094,42.358201,-72.140846
"262",1095,42.125974,-72.489988
"263",1096,42.413069,-72.821653
"264",1097,42.161743,-72.845912
"265",1098,42.40494,-72.896133
"266",1101,42.170731,-72.604842
"267",1102,42.170731,-72.604842
"268",1103,42.103044,-72.590783
"269",1104,42.128605,-72.567966
"270",1105,42.099793,-72.577732
"271",1106,42.049194,-72.567882
"272",1107,42.126237,-72.586733
"273",1108,42.080594,-72.558081
"274",1109,42.119293,-72.548981
"275",1111,42.170731,-72.604842
"276",1114,42.170731,-72.604842
"277",1115,42.102894,-72.591633
"278",1116,42.170731,-72.604842
"279",1118,42.093894,-72.523227
"280",1119,42.124943,-72.526705
"281",1128,42.094616,-72.487229
"282",1129,42.124485,-72.489479
"283",1133,42.170731,-72.604842
"284",1138,42.170731,-72.604842
"285",1139,42.170731,-72.604842
"286",1144,42.101796,-72.59151
"287",1151,42.150593,-72.51278
"288",1152,42.170731,-72.604842
"289",1199,42.119943,-72.604983
"290",1201,42.479475,-73.24807
"291",1202,42.3929,-73.228483
"292",1203,42.3929,-73.228483
"293",1220,42.385595,-73.172166
"294",1222,42.185969,-73.318695
"295",1223,42.3418,-73.103468
"296",1224,42.3929,-73.228483
"297",1225,42.482125,-73.127483
"298",1226,42.470296,-73.08895
"299",1227,42.516145,-73.092852
"300",1229,42.279292,-73.343545
"301",1230,42.299392,-73.26665
"302",1235,42.29237,-73.22164
"303",1236,42.291299,-73.358798
"304",1237,42.487569,-73.235048
"305",1238,42.369856,-73.267465
"306",1240,42.459202,-73.219858
